"id","ROP","Q"
51,763,1109
63,716,1117
118,584,809
132,377,678
242,1102,1471
480,546,1194
521,527,991
672,902,1908
777,323,962
891,404,749
961,724,1192
997,1412,2403
999,635,1792
1006,521,939
1009,594,1237
1085,1221,2247
1102,948,1284
1122,524,699
1154,2168,2995
1187,296,538
1209,740,1367
1333,342,376
1349,564,992
1358,473,775
1388,486,1644
1512,659,1222
1558,456,1253
1565,480,813
1597,484,1170
1609,650,1546
1632,916,1478
1650,598,1179
1684,462,759
2067,694,1273
2237,652,1593
2320,668,1169
2339,477,817
2412,524,1052
2522,371,1035
2593,1448,2208
2633,473,1010
2680,410,644
2683,272,564
2793,697,1242
2869,642,997
2872,363,825
2880,346,456
2903,998,1544
3022,190,241
3034,1051,2289
3060,482,1063
3214,419,1049
3363,370,911
3381,548,1104
3702,300,580
3725,349,781
3823,398,664
3922,544,751
4088,604,1419
4114,691,1480
4166,555,1217
4355,1181,2352
4370,1253,1500
4372,276,317
4418,234,752
4501,877,1282
4733,682,936
4744,249,459
4774,1280,2558
4801,323,738
4975,438,859
5073,402,728
5079,494,775
5222,2650,3868
5326,527,803
5330,502,619
5428,585,1699
5465,735,789
5473,586,1287
5497,615,1912
5498,928,1576
5660,466,814
5691,672,1551
5706,1957,5229
5772,1117,2722
5788,496,654
5797,524,1339
5882,403,654
5940,962,2660
5966,441,1316
6032,1760,4115
6036,615,997
6172,348,603
6220,723,1007
6232,627,2107
6248,1223,3688
6249,1320,1581
6320,398,815
6403,709,1327
6440,629,1707
6514,318,525
6531,1295,1432
6603,243,558
6605,403,991
6655,775,2428
6695,317,660
6722,571,1023
6765,686,897
6869,598,1264
6879,674,874
7223,541,854
7279,483,834
7302,386,2867
7331,419,783
7396,1323,3655
7459,772,1716
7471,894,1538
7586,1373,1891
7591,652,1643
7615,703,1240
7665,504,1463
7739,593,1869
7752,756,1651
7800,1601,2568
7821,711,1423
7827,581,753
7912,576,688
7917,396,1058
7959,447,827
7985,1056,1772
8025,463,616
8078,1678,4008
8166,832,1728
8292,357,795
8386,187,1098
8414,791,852
8540,818,1757
8570,633,1412
8721,389,1107
8735,1004,1925
8736,500,1292
8840,662,956
8846,546,1117
8948,401,701
8959,782,1074
9101,661,1891
9126,1726,4362
9150,937,1260
9180,615,765
9190,428,900
9222,457,706
9240,2425,4085
9365,641,858
9430,699,937
9442,395,715
9443,707,1271
9587,452,1382
9773,356,707
9783,408,845
9813,612,1409
9873,494,598
9894,484,1170
9978,420,458
10021,554,1113
10054,822,1408
10219,250,584
10249,405,1596
10535,648,1859
10538,753,1044
10582,594,1414
10603,1447,2068
10659,523,1006
10660,766,1356
10876,1055,2954
10897,628,835
10919,493,709
11176,1966,3149
11234,967,1276
11247,679,1257
11266,580,900
11355,509,1311
11381,406,1030
11385,342,999
11422,303,754
11446,532,760
11496,665,1481
11514,645,1259
11536,317,1188
11545,363,593
11563,1003,1736
11584,232,1283
11587,356,979
11846,438,1702
11851,314,1188
11890,396,1155
11934,936,1209
11937,834,1871
12022,903,2513
12045,455,1207
12067,697,1614
12090,1346,3101
12116,2204,4544
12213,761,1058
12232,792,1705
12255,552,877
12371,978,2997
12416,752,1218
12421,792,984
12429,233,382
12835,920,1314
12848,317,876
12870,855,1595
12933,480,750
12942,285,583
12981,305,469
12983,671,1124
13197,292,593
13297,633,1221
13299,481,1562
13415,1662,3150
13461,437,856
13467,783,1863
13511,689,1862
13527,469,1058
13644,245,312
13825,1269,3592
13983,389,636
14009,594,1004
14097,500,1256
14252,506,1176
14266,2302,4098
14273,306,803
14277,901,2326
14328,412,752
14516,195,473
14573,847,1157
14620,264,372
14724,214,1586
14749,818,2002
14794,833,2269
14874,674,1406
14922,462,1063
14954,822,1225
15113,527,913
15124,762,1348
15218,647,1113
15254,507,703
15261,529,753
15280,413,669
15328,192,565
15373,627,858
15440,165,327
15624,111,221
15658,994,1346
15711,926,1405
15767,248,473
15917,707,1076
15921,230,449
16110,334,424
16207,63,100
16227,244,611
16240,593,820
16254,136,182
16265,481,1133
16274,791,1235
16409,220,778
16422,511,1095
16425,128,294
16426,243,524
16493,153,299
16507,7,17
16639,108,182
16665,1322,1744
16757,1152,1357
16910,1091,2565
16992,1931,2355
17077,39,63
17125,1071,1584
17129,162,231
17323,114,200
17365,440,1215
17380,399,737
17475,853,1152
17530,754,1645
17568,361,619
17630,635,1417
17658,1405,3119
17676,96,182
17765,173,272
17960,556,880
17970,364,586
17985,21,41
18046,1872,3391
18215,121,240
18226,179,334
18266,8,9
18291,167,211
18318,770,1414
18320,187,353
18347,285,567
18399,561,755
18519,223,292
18583,551,1027
18619,48,110
18848,501,961
18872,634,1257
18975,161,386
19020,442,994
19054,993,1681
19066,421,737
19070,772,1319
19209,48,154
19210,191,372
19212,444,658
19241,407,864
19251,518,959
19353,924,2077
19369,719,1251
19385,180,236
19497,472,677
19573,374,902
19598,522,1009
19610,566,1392
19819,16,21
20015,11,20
20043,282,339
20048,607,1144
20099,801,983
20156,135,252
20257,327,665
20282,1601,2794
20362,487,1278
20388,184,323
20425,29,38
20476,703,1611
20555,51,76
20556,370,600
20654,486,586
20690,441,856
20714,349,955
20749,97,128
20840,1356,1666
20849,198,321
20856,302,791
20859,360,810
20861,847,1947
20870,402,639
20899,293,809
20919,373,686
20922,591,928
21068,139,185
21085,625,1338
21097,52,80
21136,324,543
21140,101,136
21484,521,862
21497,548,963
21576,633,1004
21812,336,597
21818,419,612
21819,293,684
21837,457,965
22083,335,570
22124,760,1038
22134,148,262
22138,224,573
22139,771,1104
22158,475,1939
22164,747,1697
22211,437,726
22236,656,1211
22299,1714,2801
22325,603,1047
22365,573,1099
22372,630,916
22585,893,1525
22627,278,478
22665,85,199
22695,1341,2827
22730,277,876
22859,1396,2010
22879,652,1667
22998,165,276
23240,54,65
23246,868,1132
23291,1933,2595
23311,347,420
23316,260,650
23435,261,509
23464,86,205
23470,528,731
23521,158,291
23527,150,273
23544,88,130
23546,737,1380
23588,428,586
23618,338,625
23633,39,94
23646,632,765
23697,244,263
23769,2085,4184
23815,512,1052
23819,599,1210
23865,900,1133
23896,97,196
23960,574,1033
24056,279,521
24155,843,1456
24191,1284,1768
24247,702,1205
24361,160,214
24391,346,640
24402,1102,1744
24507,1002,1193
24511,729,1424
24612,151,306
24686,155,297
24819,562,1071
24996,78,165
25009,642,1163
25013,210,348
25176,114,210
25242,507,806
25347,231,538
25350,670,831
25366,58,105
25414,104,135
25471,308,475
25503,1156,1594
25579,247,452
25591,887,1393
25623,216,380
25681,15,31
25963,749,1163
26007,347,620
26110,282,444
26112,32,66
26160,1578,2218
26216,152,387
26367,391,1160
26521,327,557
26672,730,1417
26674,887,1158
26764,84,207
26772,722,875
26848,945,1251
26869,531,740
26979,551,718
27034,704,958
27053,157,383
27136,481,737
27172,173,619
27180,919,2113
27256,894,1046
27269,11,15
27317,202,448
27603,1147,1580
27682,292,588
27739,679,1332
27767,481,751
27951,562,966
27995,517,1043
28153,143,272
28231,708,1656
28247,47,55
28292,1479,2034
28323,392,755
28349,217,514
28416,249,327
28476,398,436
28488,797,1560
28566,430,884
28621,254,347
28781,203,319
28802,502,1004
28903,331,719
29021,510,976
29031,264,408
29074,572,935
29092,613,912
29181,1008,1296
29289,508,1366
29301,444,974
29304,350,428
29327,146,344
29417,871,1322
29449,560,1079
29503,570,1022
29527,304,556
29597,585,699
29620,49,70
29780,623,804
29816,434,817
29922,746,785
29932,467,751
30013,38,87
30027,111,170
30106,16,25
30122,165,235
30148,281,605
30151,68,166
30219,156,303
30307,7,19
30398,115,161
30527,62,133
30567,47,99
30581,85,192
30673,78,168
30709,44,98
30919,42,84
30936,51,118
30946,51,141
30963,14,38
30980,26,49
31011,46,82
31021,72,133
31200,50,63
31246,62,120
31257,55,80
31260,108,161
31281,58,106
31467,112,159
31494,54,93
31569,34,41
31710,69,189
31755,41,51
31758,108,143
31778,68,156
31841,75,151
31882,69,126
31898,69,106
31907,71,116
31914,10,25
31973,168,382
31984,31,59
32122,164,448
32170,45,112
32182,29,51
32194,31,79
32276,29,47
32301,73,122
32458,113,241
32546,242,385
32561,9,17
32592,50,115
32645,62,111
32683,322,374
32710,20,27
32774,69,94
32852,64,167
32881,73,95
33039,66,113
33055,30,50
33454,185,266
33514,189,202
33601,169,221
33706,11,19
33798,39,75
33832,90,201
33927,15,33
33949,7,10
34158,132,215
34364,13,18
34652,145,267
34737,43,93
34760,77,142
34773,27,35
34836,38,72
34840,183,286
34890,24,43
34903,108,165
34975,100,186
35106,21,28
35354,12,21
35387,63,176
35436,14,31
35462,59,119
35480,150,213
35505,60,107
35550,25,44
35571,41,69
35595,111,153
35607,54,92
35749,182,253
35767,72,102
35842,66,114
35941,85,183
36002,22,49
36018,33,64
36024,185,231
36033,274,378
36060,22,44
36076,117,389
36128,81,169
36155,28,57
36223,37,54
36350,314,425
36448,17,37
36481,128,317
36547,37,118
36558,58,157
36567,109,163
36616,27,70
36622,56,112
36631,65,117
36790,134,201
36812,77,134
36838,92,167
36855,44,59
36873,46,57
36909,157,176
36998,140,280
37004,66,111
37115,45,85
37146,151,245
37253,83,154
37292,58,165
37407,63,177
37437,285,591
37552,120,214
37586,154,284
37597,102,175
37608,48,59
37633,157,267
37639,16,28
37680,124,186
37698,45,63
37840,135,185
37860,35,61
37983,61,79
37989,104,140
38061,129,308
38208,29,84
38261,367,745
38279,191,482
38385,126,183
38496,84,162
38510,72,150
38543,5,7
38569,80,133
38626,142,239
38671,126,171
38712,178,403
38733,26,32
38792,18,20
38848,141,263
38854,79,134
38923,13,16
39004,32,59
39032,6,9
39197,69,101
39212,189,485
39237,77,102
39264,62,104
39282,55,73
39379,148,470
39403,96,149
39456,68,129
39494,115,145
39575,77,91
39576,116,185
39597,62,106
39617,12,30
39698,59,61
39787,108,185
39826,78,125
39836,72,115
40162,19,46
40171,53,171
40177,75,120
40187,77,107
40237,157,163
40390,117,261
40436,127,185
40442,256,302
40640,60,194
40680,30,44
40693,88,166
40760,75,140
40779,117,156
40822,166,227
40866,116,215
41042,40,86
41145,65,156
41177,51,108
41199,52,96
41292,57,201
41557,17,34
41590,31,43
41729,337,513
41741,93,139
41770,222,394
41814,28,88
41818,150,442
41835,4,8
41869,84,137
41877,49,68
41933,38,109
42003,53,142
42051,85,238
42119,290,413
42213,31,63
42223,42,83
42239,56,109
42372,33,38
42448,36,75
42535,14,37
42647,76,93
42682,15,41
42715,71,147
42735,85,116
42817,206,339
42825,15,46
42866,51,141
42976,14,30
42998,11,37
43222,50,84
43259,46,72
43337,7,17
43364,9,13
43366,256,379
43375,37,67
43454,95,132
43499,60,119
43593,58,80
43695,124,220
43741,93,131
43858,126,225
43862,69,102
43915,67,145
44000,43,99
44063,12,27
44177,4,10
44196,27,55
44289,138,203
44293,144,206
44424,66,122
44488,106,224
44502,129,348
44533,33,70
44643,21,39
44648,15,27
44730,103,205
44743,126,176
44807,78,114
44871,33,78
44976,144,379
45016,2,8
45037,4,8
45049,8,10
45116,3,5
45158,7,13
45194,3,7
45368,3,6
45369,13,23
45376,5,8
45411,6,12
45439,11,17
45457,11,14
45516,8,18
45662,11,17
45687,4,7
45719,31,37
45847,8,13
45981,6,7
45993,19,31
46088,6,12
46111,7,8
46210,22,37
46468,3,8
46551,5,8
46994,6,7
47004,8,16
47013,11,24
47016,2,4
47038,7,13
47046,8,15
47102,4,7
47104,3,9
47174,3,7
47197,13,16
47250,6,11
47361,4,6
47387,7,9
47476,12,12
47489,9,11
47562,6,11
47572,6,8
47599,8,14
47605,7,8
47666,6,10
47683,6,23
47718,4,9
47733,3,7
47789,3,4
47803,5,15
47817,8,14
47856,14,21
47906,8,15
47991,7,11
47995,7,14
48012,6,14
48069,6,9
48092,4,7
48155,9,12
48167,3,4
48327,4,7
48332,14,14
48356,4,7
48360,9,11
48405,10,19
48445,4,7
48458,6,10
48671,28,35
48708,11,19
48771,8,15
48827,5,10
48844,5,9
48872,12,14
48964,4,7
48999,5,14
49000,4,7
49060,5,8
49147,4,8
49193,4,13
49268,19,35
49387,7,13
49512,5,8
49667,8,13
49698,8,12
49700,5,12
49759,12,15
49834,6,7
49911,8,14
49921,18,25
50089,8,9
50105,4,6
50113,9,14
50212,7,11
50216,6,10
50236,7,18
50340,2,7
50354,5,8
50356,3,7
50700,5,12
50710,5,7
50779,4,9
50866,4,10
50958,11,14
51037,15,17
51163,3,6
51196,6,12
51260,4,10
51312,6,12
51361,3,8
51367,3,6
51406,9,13
51425,12,13
51456,3,9
51517,7,10
51661,16,18
51719,6,14
51733,7,12
51774,4,6
51966,7,12
52032,6,10
52053,10,12
52078,13,18
52113,7,12
52134,3,5
52264,14,24
52297,6,11
52470,3,8
52498,8,26
52562,5,9
52579,8,15
52657,5,11
52854,5,10
52940,9,18
53000,5,7
53108,9,11
53139,7,12
53158,7,11
53260,6,8
53288,8,15
53333,6,8
53362,4,8
53387,8,11
53455,7,15
53531,4,6
53535,3,6
53595,18,42
53637,4,11
53648,6,8
53681,11,24
53686,14,17
53903,8,8
53999,5,8
54024,10,10
54054,7,16
54110,2,4
54187,7,8
54223,5,7
54234,6,9
54304,18,24
54414,4,6
54456,6,10
54579,7,17
54619,8,10
54727,7,11
54775,6,13
54779,6,14
54786,7,9
54875,5,8
54879,2,6
54980,6,12
55122,8,11
55124,10,15
55130,6,10
55156,20,33
55322,8,10
55393,4,6
55459,6,11
55514,3,6
55571,16,21
55661,8,12
55679,3,6
55682,7,12
55734,3,5
55747,8,10
55834,10,11
55939,4,10
55966,5,12
56189,7,12
56198,8,16
56215,4,6
56232,14,27
56249,8,17
56257,7,9
56534,9,15
56722,6,16
56723,7,12
56845,6,14
56859,5,7
56908,9,14
56990,6,19
57211,20,21
57257,5,9
57274,10,15
57294,3,5
57302,6,13
57307,30,48
57309,7,14
57351,5,8
57412,8,14
57438,5,7
57623,6,12
57663,11,17
57693,28,41
57707,5,7
57735,21,43
57745,6,15
57770,9,16
57817,28,48
57923,5,10
57955,4,9
57965,4,5
57986,7,11
57995,15,39
58078,4,9
58127,6,7
58175,11,19
58191,4,6
58249,23,41
58277,6,15
58383,4,10
58456,5,16
58501,7,12
58584,8,13
58633,10,11
58737,20,23
58790,17,25
58813,17,38
58880,17,40
59021,9,17
59031,7,12
59044,11,15
59088,2,6
59121,4,5
59288,7,11
59335,7,12
59360,17,22
59447,11,29
59498,7,11
59651,4,6
59703,7,12
59817,6,13
59862,8,9
59962,9,24
59981,11,15
